,A.0_ID flood wave shape,discount rate 0,EWS_DaysToThreat,scenario,policy,model,RfR Total Costs,Expected Evacuation Costs,Dike ring,Bmax,Brate,pfail,RfR 0,DikeIncrease 0,Dike Investment Costs,Expected Annual Damage,Expected Number of Deaths,num_of_events
0,74,1.5,0,0,Baseline,dikesnet,0.0,0.0,A.1,274.3009006354014,1.0,0.43452214111948917,0,0,0,348357719.4545343,0.16052716820897658,108
1,73,3.5,0,1,Baseline,dikesnet,0.0,0.0,A.1,349.08275856055036,1.0,0.4061597037472546,0,0,0,286611212.039793,0.2264434155275228,108
2,81,1.5,0,2,Baseline,dikesnet,0.0,0.0,A.1,316.9763741052865,1.0,0.14304323715440906,0,0,0,1453610129.8067122,0.6423453607437128,108
3,7,2.5,0,3,Baseline,dikesnet,0.0,0.0,A.1,107.13324728605383,10.0,0.3822602872779956,0,0,0,538898588.8391097,0.32781579667667693,108
4,101,2.5,0,4,Baseline,dikesnet,0.0,0.0,A.1,295.6348078845713,1.5,0.9661869396619875,0,0,0,0.0,0.0,108
5,64,1.5,0,5,Baseline,dikesnet,0.0,0.0,A.1,83.62866912339442,10.0,0.5836299025942504,0,0,0,65656736.727629304,0.03142494647424536,108
6,26,1.5,0,6,Baseline,dikesnet,0.0,0.0,A.1,161.84112041726104,1.5,0.2838159609922954,0,0,0,1428588210.1471047,0.6284762681986454,108
7,128,4.5,0,7,Baseline,dikesnet,0.0,0.0,A.1,309.41978579940064,10.0,0.10772598377070529,0,0,0,666524362.6468601,0.6316526380376901,108
8,41,2.5,0,8,Baseline,dikesnet,0.0,0.0,A.1,199.1179442579429,1.0,0.9271572519821947,0,0,0,0.0,0.0,108
9,85,4.5,0,9,Baseline,dikesnet,0.0,0.0,A.1,150.25721361453188,1.5,0.7359252170864822,0,0,0,2836618.055569002,0.0029761110242348004,108
10,94,2.5,0,10,Baseline,dikesnet,0.0,0.0,A.1,279.0747812960894,10.0,0.46024015998647316,0,0,0,122708228.37033018,0.07678621161254616,108
11,113,4.5,0,11,Baseline,dikesnet,0.0,0.0,A.1,266.9473656149054,10.0,0.6256635528663518,0,0,0,14680674.005592562,0.015221981537368983,108
12,20,3.5,0,12,Baseline,dikesnet,0.0,0.0,A.1,219.49934129974872,1.5,0.9075744153911772,0,0,0,0.0,0.0,108
13,30,1.5,0,13,Baseline,dikesnet,0.0,0.0,A.1,312.95273057438135,1.5,0.6602960265402325,0,0,0,28776354.066232767,0.01396214027775856,108
14,124,2.5,0,14,Baseline,dikesnet,0.0,0.0,A.1,203.13473499410958,10.0,0.5553930862478342,0,0,0,48132410.12429413,0.030958849993596486,108
15,23,4.5,0,15,Baseline,dikesnet,0.0,0.0,A.1,258.4775993102128,1.5,0.8179309692599792,0,0,0,543279.9336400654,0.0005759437971712536,108
16,54,2.5,0,16,Baseline,dikesnet,0.0,0.0,A.1,339.3141347935235,1.5,0.41385494493082053,0,0,0,281604467.3432485,0.17335023945829398,108
17,116,4.5,0,17,Baseline,dikesnet,0.0,0.0,A.1,88.93774364183263,10.0,0.9180661167322387,0,0,0,0.0,0.0,108
18,129,1.5,0,18,Baseline,dikesnet,0.0,0.0,A.1,154.48079372026504,1.0,0.18987239669111555,0,0,0,1411758851.093059,0.6191517584084703,108
19,24,2.5,0,19,Baseline,dikesnet,0.0,0.0,A.1,132.04627487583514,10.0,0.8557633805976828,0,0,0,0.0,0.0,108
20,40,2.5,0,20,Baseline,dikesnet,0.0,0.0,A.1,232.48761756808216,1.5,0.9825448764526127,0,0,0,0.0,0.0,108
21,32,4.5,0,21,Baseline,dikesnet,0.0,0.0,A.1,291.4392411758599,1.5,0.6712057635918821,0,0,0,10112704.352925228,0.010574136825222357,108
22,85,4.5,0,22,Baseline,dikesnet,0.0,0.0,A.1,262.1481879618071,10.0,0.07430755706210651,0,0,0,659133426.9661613,0.6228396327344689,108
23,107,1.5,0,23,Baseline,dikesnet,0.0,0.0,A.1,51.43675018900288,1.0,0.6140966967447871,0,0,0,39588444.595185705,0.0190541557121766,108
24,5,4.5,0,24,Baseline,dikesnet,0.0,0.0,A.1,136.68606006845678,10.0,0.7217970675113325,0,0,0,5378639.19760617,0.005641747020263005,108
25,109,4.5,0,25,Baseline,dikesnet,0.0,0.0,A.1,253.6822863220091,1.0,0.7431119327366681,0,0,0,3631302.0260602375,0.003819096145387655,108
26,89,4.5,0,26,Baseline,dikesnet,0.0,0.0,A.1,213.0947029233992,1.0,0.643264893578447,0,0,0,15101494.66225706,0.015735866655220577,108
27,18,1.5,0,27,Baseline,dikesnet,0.0,0.0,A.1,346.7856657941789,10.0,0.33226954836490996,0,0,0,1386040911.5195384,0.6111104487085111,108
28,44,4.5,0,28,Baseline,dikesnet,0.0,0.0,A.1,121.96011519546303,1.5,0.5068248133723433,0,0,0,46267639.52764197,0.04712796502748014,108
29,90,4.5,0,29,Baseline,dikesnet,0.0,0.0,A.1,331.9483394870554,1.5,0.05618046774414109,0,0,0,662151713.9143903,0.6264385811308824,108
30,3,1.5,0,30,Baseline,dikesnet,0.0,0.0,A.1,155.1505493299351,1.5,0.9556916964140137,0,0,0,0.0,0.0,108
31,127,4.5,0,31,Baseline,dikesnet,0.0,0.0,A.1,64.779962788494,1.0,0.26232648232535105,0,0,0,668188518.2849416,0.6336375328781303,108
32,93,2.5,0,32,Baseline,dikesnet,0.0,0.0,A.1,182.83370761668667,10.0,0.9414201493200693,0,0,0,0.0,0.0,108
33,77,4.5,0,33,Baseline,dikesnet,0.0,0.0,A.1,201.8051939953919,1.5,0.15678587592224594,0,0,0,660344616.0558386,0.6242836438242783,108
34,115,3.5,0,34,Baseline,dikesnet,0.0,0.0,A.1,230.83202815405934,10.0,0.37544404055674113,0,0,0,380418653.7198062,0.29700015135144875,108
35,107,3.5,0,35,Baseline,dikesnet,0.0,0.0,A.1,176.64484868367882,1.5,0.2786462994963519,0,0,0,824457271.0320244,0.6294679087190029,108
36,19,2.5,0,36,Baseline,dikesnet,0.0,0.0,A.1,322.2010597876879,1.5,0.8479443274767268,0,0,0,0.0,0.0,108
37,104,4.5,0,37,Baseline,dikesnet,0.0,0.0,A.1,36.79424230750966,1.0,0.1792917840075651,0,0,0,673275567.5301175,0.6397055183177794,108
38,131,2.5,0,38,Baseline,dikesnet,0.0,0.0,A.1,329.4146982161854,1.5,0.884234318974403,0,0,0,0.0,0.0,108
39,51,1.5,0,39,Baseline,dikesnet,0.0,0.0,A.1,254.28829574142893,10.0,0.20870673741464454,0,0,0,1399899182.747874,0.6125811768179744,108
40,47,4.5,0,40,Baseline,dikesnet,0.0,0.0,A.1,59.12379018838501,1.0,0.9954701103784404,0,0,0,0.0,0.0,108
41,122,2.5,0,41,Baseline,dikesnet,0.0,0.0,A.1,206.35323640890113,1.5,0.7022107549943544,0,0,0,8427434.658052638,0.005515443205078752,108
42,96,3.5,0,42,Baseline,dikesnet,0.0,0.0,A.1,44.322150822736944,1.0,0.5681087184530011,0,0,0,38146284.999949366,0.03172258031889521,108
43,49,3.5,0,43,Baseline,dikesnet,0.0,0.0,A.1,91.60149037915065,1.5,0.022366013918334135,0,0,0,813841444.0680454,0.6192632304817932,108
44,37,1.5,0,44,Baseline,dikesnet,0.0,0.0,A.1,99.1003906501655,10.0,0.220145340628739,0,0,0,1442149519.6606808,0.6359921731658621,108
45,59,1.5,0,45,Baseline,dikesnet,0.0,0.0,A.1,72.53529393308625,1.0,0.49881413319362355,0,0,0,122885648.37047516,0.058070121387651316,108
46,35,3.5,0,46,Baseline,dikesnet,0.0,0.0,A.1,168.32072931388697,1.0,0.24011498065295808,0,0,0,836362510.4700048,0.6409163443958316,108
47,111,2.5,0,47,Baseline,dikesnet,0.0,0.0,A.1,106.43011970163093,1.0,0.7509694916490554,0,0,0,3491305.3588575283,0.00229720581625833,108
48,25,2.5,0,48,Baseline,dikesnet,0.0,0.0,A.1,110.27806433060556,1.0,0.30402035836466723,0,0,0,1069190443.7977352,0.6349237949010372,108
49,103,3.5,0,49,Baseline,dikesnet,0.0,0.0,A.1,184.19458624407406,1.0,0.4298130183432511,0,0,0,198519549.12870649,0.1583164578603618,108
50,61,4.5,0,50,Baseline,dikesnet,0.0,0.0,A.1,188.61012027801473,1.5,0.5431611109073748,0,0,0,37089504.21780289,0.03792595722467554,108
51,30,3.5,0,51,Baseline,dikesnet,0.0,0.0,A.1,134.33897936608807,1.0,0.04128393604568355,0,0,0,831748866.9777136,0.6364792376428499,108
52,38,2.5,0,52,Baseline,dikesnet,0.0,0.0,A.1,58.60949304514399,1.0,0.2171253548676285,0,0,0,1054519601.1108162,0.62397240578457,108
53,68,3.5,0,53,Baseline,dikesnet,0.0,0.0,A.1,116.55187840763202,1.0,0.06797096091249898,0,0,0,836617031.1942791,0.6411611392468525,108
54,120,3.5,0,54,Baseline,dikesnet,0.0,0.0,A.1,40.50450463116637,1.0,0.970527084011078,0,0,0,0.0,0.0,108
55,97,3.5,0,55,Baseline,dikesnet,0.0,0.0,A.1,178.9367327652076,1.5,0.5328711167648679,0,0,0,51971447.19809216,0.04285089148076417,108
56,93,4.5,0,56,Baseline,dikesnet,0.0,0.0,A.1,67.33897082103451,1.0,0.39997171935932163,0,0,0,247493683.56316793,0.24193905049678677,108
57,28,2.5,0,57,Baseline,dikesnet,0.0,0.0,A.1,127.08505293205393,1.5,0.8710991662176855,0,0,0,0.0,0.0,108
58,16,4.5,0,58,Baseline,dikesnet,0.0,0.0,A.1,342.09410361415695,10.0,0.11719430669401175,0,0,0,673363383.3256316,0.6398102832647428,108
59,52,3.5,0,59,Baseline,dikesnet,0.0,0.0,A.1,113.95464132472429,1.5,0.1353101168432133,0,0,0,816803559.6474342,0.6221103711223455,108
60,5,1.5,0,60,Baseline,dikesnet,0.0,0.0,A.1,303.90286813446846,1.0,0.9387861826797328,0,0,0,0.0,0.0,108
61,71,2.5,0,61,Baseline,dikesnet,0.0,0.0,A.1,325.84732216478466,1.5,0.8336057935034541,0,0,0,0.0,0.0,108
62,105,2.5,0,62,Baseline,dikesnet,0.0,0.0,A.1,217.37403974398217,10.0,0.3400375936537621,0,0,0,949773293.3620129,0.5671948257009667,108
63,38,3.5,0,63,Baseline,dikesnet,0.0,0.0,A.1,307.80000239589947,10.0,0.8282352203981289,0,0,0,0.0,0.0,108
64,56,1.5,0,64,Baseline,dikesnet,0.0,0.0,A.1,172.6868739305555,1.0,0.35103776784547064,0,0,0,1164207736.7264457,0.5176793754439408,108
65,11,3.5,0,65,Baseline,dikesnet,0.0,0.0,A.1,292.999963347437,1.0,0.03090648825977161,0,0,0,826463840.7485217,0.631397016368398,108
66,13,3.5,0,66,Baseline,dikesnet,0.0,0.0,A.1,287.19540425006124,1.0,0.6587412032236006,0,0,0,12155088.870921422,0.010191852561641387,108
67,117,3.5,0,67,Baseline,dikesnet,0.0,0.0,A.1,139.8592187585453,1.0,0.5218744777977555,0,0,0,58269498.76033242,0.047995323806735164,108
68,131,2.5,0,68,Baseline,dikesnet,0.0,0.0,A.1,249.3124406373244,1.0,0.23124904535350196,0,0,0,1077748123.9466724,0.641313725859243,108
69,74,4.5,0,69,Baseline,dikesnet,0.0,0.0,A.1,272.1355113443483,10.0,0.31863746718588914,0,0,0,674016964.5982363,0.6405899976398644,108
70,12,3.5,0,70,Baseline,dikesnet,0.0,0.0,A.1,122.99319292526289,1.5,0.3258112830848657,0,0,0,832143470.3007401,0.6368586758277821,108
71,80,4.5,0,71,Baseline,dikesnet,0.0,0.0,A.1,48.24470265238088,1.5,0.08961683306446265,0,0,0,660807478.6550121,0.6248356281650337,108
72,47,2.5,0,72,Baseline,dikesnet,0.0,0.0,A.1,78.17595032645944,10.0,0.7123551572704618,0,0,0,9817308.085616063,0.006438178933187063,108
73,22,2.5,0,73,Baseline,dikesnet,0.0,0.0,A.1,146.02003363001307,10.0,0.4708836262405456,0,0,0,118933468.42837337,0.07489458177957714,108
74,1,3.5,0,74,Baseline,dikesnet,0.0,0.0,A.1,196.14652676408843,10.0,0.09275598635488945,0,0,0,816456204.4757429,0.6217764804554654,108
75,57,3.5,0,75,Baseline,dikesnet,0.0,0.0,A.1,245.79451929787066,10.0,0.48071158810072095,0,0,0,74659796.9382528,0.06074566427859564,108
76,123,2.5,0,76,Baseline,dikesnet,0.0,0.0,A.1,335.38698503163243,1.0,0.2509812940736539,0,0,0,1081068130.1072056,0.6437933854008576,108
77,45,1.5,0,77,Baseline,dikesnet,0.0,0.0,A.1,299.5806541948394,1.5,0.009349468146608711,0,0,0,1449711024.3313534,0.6401837086145709,108
78,43,4.5,0,78,Baseline,dikesnet,0.0,0.0,A.1,222.9864257378804,1.5,0.6922741677634257,0,0,0,10152102.683599459,0.010622248094194178,108
79,10,3.5,0,79,Baseline,dikesnet,0.0,0.0,A.1,84.42817557409617,1.0,0.5969506490960474,0,0,0,27424278.06415007,0.022840295624209046,108
80,33,3.5,0,80,Baseline,dikesnet,0.0,0.0,A.1,235.2896563534645,1.5,0.788447904090678,0,0,0,3718653.9446728136,0.0031732385241858155,108
81,87,1.5,0,81,Baseline,dikesnet,0.0,0.0,A.1,54.5392698218783,10.0,0.4570570573105437,0,0,0,226141143.42721772,0.10524315083141243,108
