,policy,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage
25586,5682,999214590.472518,0.0,0.0,0.0,0.0
25587,5682,1345444097.0931404,0.0,0.0,0.0,0.0
25588,5682,65796407.4249568,0.0,0.0,0.0,0.0
25589,5682,18991877.746238887,686108.58944711,0.0,0.0,0.0
25590,5682,135315329.1610559,0.0,0.0,0.0,0.0
25591,5682,33233298.342954192,155416395.16984332,0.0,0.0,0.0
25592,5682,999591938.9051572,0.0,0.0,0.0,0.0
25593,5682,387851236.17749774,23515188.341786288,0.0,0.0,0.0
25594,5682,109654866.78991684,0.0,0.0,0.0,0.0
25595,5682,30320139.818099342,0.0,0.0,2511296.575552478,0.0
25596,5682,1346186610.601715,0.0,0.0,7037077.228068965,0.0
25597,5682,1345474047.9465697,0.0,0.0,0.0,0.0
25598,5682,23558051.326142468,167814834.54360777,0.0,0.0,0.0
25599,5682,100101415.80861354,0.0,0.0,0.0,0.0
25600,5682,999284927.8453652,0.0,0.0,0.0,0.0
25601,5682,998742288.0094566,0.0,0.0,0.0,0.0
25602,5682,998686004.6055924,0.0,0.0,0.0,0.0
25603,5682,41696635.7950321,33457729.587016463,0.0,0.0,0.0
25604,5682,29956119.18871939,290764325.9725498,0.0,0.0,0.0
25605,5682,1344816381.1321068,0.0,0.0,0.0,0.0
25606,5682,888074248.944278,0.0,0.0,1650130.021677693,0.0
25607,5682,1195043679.7457433,0.0,0.0,0.0,0.0
25608,5682,998837410.6912812,0.0,0.0,0.0,0.0
25609,5682,70106719.20488426,0.0,0.0,19033939.56204137,0.0
25610,5682,27279172.272752885,24886920.472977083,0.0,0.0,0.0
25611,5682,999204526.4282528,6132266.0382693,0.0,0.0,0.0
25612,5682,70818517.45462367,0.0,0.0,0.0,0.0
25613,5682,998380799.9101014,483216.0946578387,0.0,16595787.73254048,0.0
25614,5682,24526983.82036837,31096623.66587112,0.0,0.0,0.0
25615,5682,195451749.58717787,0.0,0.0,0.0,0.0
25616,5682,49724174.23550804,33248714.58956042,0.0,0.0,0.0
25617,5682,19615918.578242183,8886704.070365444,0.0,0.0,27621911.35634188
25618,5682,1345783950.155232,0.0,0.0,0.0,0.0
25619,5682,998829292.9746832,0.0,0.0,0.0,0.0
25620,5682,49746734.44226597,90152141.798199,0.0,0.0,0.0
25621,5682,1344821963.9326928,0.0,0.0,0.0,0.0
25622,5682,820145064.6761017,2262949.151359153,0.0,0.0,0.0
25623,5682,48525841.81046628,3116266.846853479,0.0,0.0,0.0
25624,5682,1346019335.8083904,0.0,0.0,0.0,0.0
25625,5682,70739263.76040435,0.0,0.0,1993604.319751024,0.0
25626,5682,145198359.6743014,0.0,0.0,0.0,0.0
25627,5682,52431059.0588022,0.0,0.0,0.0,0.0
25628,5682,52850680.642707705,15732479.231991896,0.0,56239364.87866893,0.0
25629,5682,999214590.472518,0.0,0.0,5480468.739999285,0.0
25630,5682,18874119.926401917,0.0,0.0,1104609.5381740276,0.0
25631,5682,70951061.45311718,0.0,0.0,0.0,0.0
25632,5682,999463098.1159536,89238961.71354802,0.0,0.0,0.0
25633,5682,6733701.495729405,9328538.932767749,0.0,2246655.422883408,0.0
25634,5682,1344800939.8088472,0.0,0.0,0.0,0.0
25635,5682,100142166.80814692,0.0,0.0,0.0,0.0
25636,5682,14511729.21368983,0.0,0.0,1223262.4079522926,0.0
25637,5682,999219764.8780088,0.0,0.0,0.0,0.0
25638,5682,998854792.1715976,0.0,0.0,0.0,0.0
25639,5682,998681741.8597716,0.0,0.0,0.0,0.0
25640,5682,999357093.8735796,0.0,0.0,0.0,0.0
25641,5682,1345546481.8510635,0.0,0.0,0.0,0.0
25642,5682,100394450.71193609,0.0,0.0,0.0,0.0
25643,5682,13014005.38246828,8930720.473823164,0.0,6195124.922387388,0.0
25644,5682,353386913.7589051,0.0,0.0,0.0,0.0
25645,5682,554312541.2276866,0.0,0.0,0.0,0.0
25646,5682,1195905614.4238658,0.0,0.0,0.0,0.0
25647,5682,998576557.6808732,0.0,0.0,137216.21246482764,0.0
25648,5682,999287164.8247442,0.0,0.0,0.0,0.0
25649,5682,1346102680.3086452,0.0,0.0,0.0,0.0
25650,5682,26915907.0921402,33455334.73401603,0.0,0.0,0.0
25651,5682,145056614.78072417,0.0,0.0,0.0,0.0
25652,5682,388672411.0877093,0.0,0.0,0.0,0.0
25653,5682,9335364.66950886,382241768.4938972,0.0,0.0,0.0
25654,5682,1345603955.7889917,2190226.25198094,0.0,1785260.389085523,0.0
25655,5682,196945231.98280305,432466355.2982427,0.0,0.0,0.0
25656,5682,998655483.835577,0.0,0.0,0.0,0.0
25657,5682,71186377.67040043,12484880.958004829,0.0,0.0,0.0
25658,5682,1093185354.5597873,0.0,0.0,45119513.09316276,0.0
25659,5682,999204526.4282528,0.0,0.0,0.0,0.0
25660,5682,1345963100.938675,0.0,0.0,35086632.05570282,0.0
25661,5682,820605219.384613,8803353.583832262,0.0,0.0,0.0
25662,5682,999403489.8368632,0.0,0.0,0.0,0.0
25663,5682,1344821320.5070314,0.0,0.0,0.0,0.0
25664,5682,522220353.9578177,0.0,0.0,0.0,0.0
25665,5682,14204353.26553798,0.0,0.0,0.0,0.0
25666,5682,999214590.472518,0.0,0.0,0.0,0.0
25667,5682,1346516708.8764768,0.0,0.0,0.0,0.0
25668,5682,1345325242.230306,0.0,0.0,0.0,0.0
25669,5682,998732206.5727547,0.0,0.0,0.0,0.0
25670,5682,998732206.5727547,0.0,0.0,8661956.13668802,0.0
25671,5682,261868367.18849576,0.0,0.0,0.0,0.0
25672,5682,13674387.701382495,0.0,0.0,2314514.7144121523,0.0
25673,5682,70490172.8225728,0.0,0.0,1397935.1172250975,0.0
25674,5682,145786491.31723142,0.0,12533270.841701258,0.0,0.0
25675,5682,196264823.2842428,0.0,0.0,0.0,0.0
25676,5682,49266997.05947106,2376547.945745086,0.0,588128.0576283281,0.0
25677,5682,195461414.40275645,0.0,298119476.80373305,6018755.423101464,0.0
25678,5682,114077956.83773316,8759010.60921346,0.0,0.0,0.0
25679,5682,262509148.03531384,0.0,0.0,0.0,0.0
25680,5682,23335963.84510782,0.0,0.0,26176021.578004487,0.0
25681,5682,1346271630.946149,0.0,0.0,0.0,0.0
25682,5682,999230653.188175,0.0,0.0,0.0,0.0
25683,5682,998830719.861259,0.0,0.0,0.0,0.0
25684,5682,18724842.984839,0.0,0.0,0.0,0.0
25685,5682,1345783950.155232,0.0,0.0,0.0,0.0
25686,5682,388301402.0217453,0.0,0.0,0.0,0.0
25687,5682,134573530.5092156,0.0,0.0,0.0,0.0
25688,5682,71366184.72463596,0.0,0.0,0.0,0.0
25689,5682,1345245342.6333203,0.0,0.0,0.0,0.0
25690,5682,353845826.1998846,0.0,0.0,0.0,0.0
25691,5682,736622198.5222816,0.0,0.0,0.0,0.0
25692,5682,71811186.01287678,0.0,0.0,174799.40734226446,0.0
25693,5682,999236693.6238918,0.0,0.0,0.0,0.0
25694,5682,1345457786.2287996,0.0,0.0,0.0,0.0
25695,5682,19343252.24589672,0.0,0.0,0.0,0.0
25696,5682,388164073.02617455,0.0,0.0,115097.60419067426,0.0
25697,5682,949199986.5152524,6264373.68358619,0.0,0.0,0.0
25698,5682,18885118.015761677,0.0,0.0,8094425.1747261565,0.0
25699,5682,52333321.15144974,0.0,0.0,0.0,0.0
25700,5682,15250714.345309976,0.0,0.0,0.0,0.0
25701,5682,103622275.84796312,0.0,0.0,0.0,0.0
25702,5682,96069966.84038489,8572977.378533859,0.0,1307437.1882862295,0.0
25703,5682,19221089.64306573,0.0,0.0,0.0,0.0
25704,5682,26506344.395618845,0.0,4530514.183411765,0.0,0.0
25705,5682,36396405.64335317,0.0,0.0,24629999.07510353,0.0
25706,5682,949224227.2644044,0.0,0.0,0.0,0.0
25707,5682,71357131.02143104,0.0,0.0,0.0,30932769.098751117
25708,5682,19585925.27179184,0.0,0.0,3307875.727877942,0.0
25709,5682,13959618.340214577,0.0,0.0,0.0,1064387.1050469312
25710,5682,609012122.8124607,0.0,0.0,0.0,0.0
25711,5682,1345626731.7103655,81100402.29267853,0.0,0.0,0.0
25712,5682,998351826.5850132,0.0,0.0,437071.21374914784,0.0
25713,5682,1346344030.010373,0.0,0.0,0.0,0.0
25714,5682,20078154.24027572,24904696.77191717,5457181.377948144,138155.79725105438,0.0
25715,5682,97061835.71287473,0.0,0.0,0.0,0.0
