policy,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage,Gelderland_Damages,Overijssel_Damages,Total_Damages
205,0.9128210083717121,0.6226500568407669,0.451515033406432,0.9203949788761482,1.0,0.7884333542834471,1.0,0.7828138523186177
284,0.0,0.9145936729258168,0.8164003439226767,0.966102602014177,1.0,0.4877524209521322,1.0,0.4877524209521322
426,0.8655401588128334,0.9145936729258168,0.48377450979213166,0.9217359997007325,1.0,0.7506195499557046,1.0,0.7506195499557046
798,0.9763082245239049,0.932408711033838,0.301497546352457,0.7185976566234238,1.0,0.9126012437684579,1.0,0.9126012437684579
2551,0.9128210083717121,0.9296172520112834,0.8139277035373744,0.9011399412690516,1.0,0.79761624157952,1.0,0.7975115636830644
2722,0.9973418342690865,0.2278020962841555,0.08997173937651158,0.8025671034841405,0.577131655832257,0.8615259056623044,0.5569672228483743,0.858589236896116
2939,0.9092063378573388,0.8530872567033756,0.29336257352928735,1.0,1.0,0.7926849763372849,1.0,0.8085582553809911
3032,0.0,0.9145936729258168,0.6649017272206907,0.9562255324442565,1.0,0.2904789084804102,1.0,0.2904789084804102
3869,0.9763082245239049,0.8842469372508417,0.301497546352457,0.5851837649785353,0.9942315252910371,0.8480752726972266,0.9887844143935921,0.8451992439055399
4898,0.9128210083717121,1.0,1.0,0.9277983457213489,1.0,0.9571532948693696,1.0,0.9571532948693696
4958,1.0,0.8532699626253442,0.08507072320850408,0.5249557206959051,0.424701395736866,0.9307222846600877,0.4098627315500127,0.9307222846600877
5682,0.9092063378573388,0.8530872567033756,0.45111703441551243,0.9199489607376793,1.0,0.7926849763372849,1.0,0.7926849763372849
5712,0.9942713735866628,0.6843787704358312,0.8164003439226767,0.5314260711118529,0.5534430714730738,0.8636790565814895,0.5341062951719717,0.8612310358139729
6534,0.9128210083717121,0.9812555460295039,0.3082991046198026,0.9277983457213489,1.0,0.9010185953969542,1.0,0.9010185953969542
6835,0.9128210083717121,0.9068271922228608,0.3082991046198026,0.9011399412690516,1.0,0.7958472331224011,1.0,0.7958472331224011
7116,0.9128210083717121,0.586427271209231,0.48632411308889795,0.9011399412690516,1.0,0.7884333542834471,1.0,0.781010496742161
7332,0.9944511853438953,0.7583138632576508,0.5121881371121881,0.551883511454453,0.577131655832257,0.8626971285924846,0.5569672228483743,0.8610622629813036
7401,0.9092063378573388,0.7877313282950836,0.8184584368689037,0.9115277365230797,1.0,0.7883873929779589,1.0,0.7883873929779589
7548,1.0,0.9167192737428604,0.08507072320850408,0.5249557206959051,0.424701395736866,1.0,0.4098627315500127,1.0
