,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,0,0,1,0,1,3,8,0,7,7,0.0,42291505.65437629,0.0,0.0,81277411.11097889,0.0,78427144.28112178,0,0.019876870757151825,0.0,14261651.781499248,0.0,0.0,44193513.54513965,0.0,205800000.0,658.3104571047752
1,0,1,1,0,1,1,6,4,0,7,9,0.0,60717312.84309486,0.0,0.0,53358573.6002109,0.0,54743123.8768971,0,0.013816549313823579,0.0,14261651.781499248,0.0,0.0,53114002.716882035,0.0,504600000.0,461.4990984942874
2,1,1,0,0,1,1,2,4,8,2,0,0.0,37255203.23710208,0.0,0.0,53358573.6002109,0.0,0.0,37285037,0.0,2478006.3589869305,7332080.219521779,0.00019897566248283421,150917069.81013852,0.0,0.019430686379740228,558500000.0,1834.2408760948115
3,1,0,1,0,0,1,6,7,2,10,3,0.0,60717312.84309486,0.0,0.0,73315450.27094865,0.0,10867086.177428124,22167818,0.002789040133843941,0.0,20384338.443195168,0.0,6221091.91107262,30351526.042379983,0.0008142687477057785,115300000.0,163.36740194775453
4,0,1,1,1,1,1,10,0,4,7,9,0.0,95107331.23784721,0.0,40442957.782381915,0.0,0.005362655574872389,0.0,26403379,0.0,0.0,14261651.781499248,0.0,0.0,53114002.716882035,0.0,625800000.0,417.50829261971535
5,1,1,1,0,0,0,9,10,2,0,8,0.0,85264360.79025151,0.0,0.0,99525397.17141615,0.0,10867086.177428124,22167818,0.00774733370512206,19226926.840512905,0.0,0.0038479963535031827,0.0,48463701.69719181,0.0,333100000.0,0.0
6,1,1,1,0,0,0,4,8,3,5,9,0.0,47847947.961454235,0.0,0.0,81277411.11097889,0.0,0.0,24198032,0.0,0.0,11068771.68625446,0.0,0.0,53114002.716882035,0.0,333100000.0,0.0
7,1,1,0,1,0,0,0,9,4,0,1,0.0,0.0,0.0,0.0,89992006.20155807,0.0,0.0,26403379,0.0,11016273.071513206,0.0,0.0022390504996640404,4260100.733491733,25037214.086173728,0.0015244027793372148,423600000.0,0.0
8,1,1,0,1,0,0,7,1,3,6,0,0.0,68139002.95605196,0.0,21046648.441665247,38245121.951764055,0.008012774930832696,0.0,24198032,0.0,0.0,12586457.998778107,0.0,48248378.36709532,0.0,0.017003401521826805,423600000.0,0.0
9,0,1,0,0,0,1,5,2,7,1,7,0.0,53972506.18695759,0.0,21153512.502827715,42818415.6714978,0.0029126507911549173,0.0,34221561,0.0,8295536.893660016,6320800.309666242,0.0006312444929054468,0.0,44193513.54513965,0.0,217800000.0,320.95298152402756
10,0,1,0,0,0,0,0,5,5,3,9,0.0,0.0,0.0,0.0,59410102.93073928,0.0,0.0,28798397,0.0,1175347.73257294,8453407.696608048,0.0002736155301271718,0.0,53114002.716882035,0.0,217800000.0,0.0
11,0,0,0,0,1,1,10,2,9,0,9,0.0,95107331.23784721,0.0,21153512.502827715,42818415.6714978,0.0029126507911549173,0.0,40609051,0.0,10766302.508652097,0.0,0.0007749080020455932,0.0,53114002.716882035,0.0,256100000.00000003,358.5056717756862
12,1,1,0,1,1,1,6,8,8,8,0,0.0,60717312.84309486,0.0,0.0,81277411.11097889,0.0,0.0,37285037,0.0,0.0,16108916.742160894,0.0,80588066.02098697,0.0,0.010336402838937067,679700000.0,966.5205504527187
13,0,1,1,0,1,1,2,3,4,9,9,0.0,37255203.23710208,0.0,2134881.7416412574,47842699.56310011,0.00029780730420823665,0.0,26403379,0.0,0.0,18144080.211109996,0.0,0.0,53114002.716882035,0.0,504600000.0,21.69326140629495
14,1,0,1,1,0,0,6,2,10,6,6,0.0,60717312.84309486,0.0,5753018.195434595,42818415.6714978,0.0022046379144114872,0.0,44215020,0.0,0.0,12586457.998778107,0.0,0.0,40273672.383724004,0.0,236500000.0,0.0
15,1,0,1,1,1,1,3,8,6,5,2,0.0,42291505.65437629,0.0,0.0,81277411.11097889,0.0,0.0,31398797,0.0,0.0,11068771.68625446,0.0,14021852.625268713,27578229.96765524,0.001829510942402982,492600000.0,165.77355473946997
16,0,1,0,0,0,1,3,8,10,3,8,0.0,42291505.65437629,0.0,0.0,81277411.11097889,0.0,0.0,44215020,0.0,1175347.73257294,8453407.696608048,9.850159084578184e-05,0.0,48463701.69719181,0.0,217800000.0,13.615362918346364
17,0,1,1,1,0,0,2,7,9,9,0,0.0,37255203.23710208,0.0,0.0,73315450.27094865,0.0,0.0,40609051,0.0,0.0,18144080.211109996,0.0,80588066.02098697,0.0,0.028712230108158522,369700000.0,0.0
18,1,0,0,0,0,0,1,1,10,2,5,0.0,32694901.094161935,0.0,21153512.502827715,38245121.951764055,0.008090696642096995,0.0,44215020,0.0,0.0,7332080.219521779,0.0,0.0,36676675.840294495,0.0,84600000.0,0.0
19,0,1,0,1,0,1,1,2,10,10,8,0.0,32694901.094161935,0.0,11310210.833422897,42818415.6714978,0.0015644579197192994,0.0,44215020,0.0,0.0,20384338.443195168,0.0,0.0,48463701.69719181,0.0,339000000.0,115.23865721418605
20,0,0,0,1,0,0,3,5,7,9,4,0.0,42291505.65437629,0.0,0.0,59410102.93073928,0.0,0.0,34221561,0.0,0.0,18144080.211109996,0.0,0.0,33377116.55719709,0.0,121200000.0,0.0
21,0,1,1,0,1,1,0,3,6,0,8,0.0,0.0,0.0,2134881.7416412574,47842699.56310011,0.00029780730420823665,0.0,31398797,0.0,11105853.97697068,0.0,0.0008172213388668318,0.0,48463701.69719181,0.0,504600000.0,166.3354951776144
22,0,0,1,0,0,0,2,3,8,0,2,0.0,37255203.23710208,0.0,2134881.7416412574,47842699.56310011,0.0008272425116895462,0.0,37285037,0.0,19294586.16909588,0.0,0.0038714168903203647,6885446.666541555,27578229.96765524,0.002488451769155431,30700000.0,0.0
23,1,0,1,1,0,0,7,2,6,8,10,0.0,68139002.95605196,0.0,5753018.195434595,42818415.6714978,0.0022046379144114872,0.0,31398797,0.0,0.0,16108916.742160894,0.0,0.0,58176627.77592012,0.0,236500000.0,0.0
24,1,1,1,1,1,0,4,10,7,8,0,0.0,47847947.961454235,0.0,0.0,99525397.17141615,0.0,0.0,34221561,0.0,0.0,16108916.742160894,0.0,80588066.02098697,0.0,0.028712230108158522,710400000.0,0.0
25,0,0,1,1,1,1,10,6,0,7,9,0.0,95107331.23784721,0.0,0.0,66045103.44010488,0.0,39235172.631659724,0,0.009907757497272466,0.0,14261651.781499248,0.0,0.0,53114002.716882035,0.0,408000000.0,330.58234614921207
26,0,1,0,1,0,0,0,8,7,1,9,0.0,0.0,0.0,0.0,81277411.11097889,0.0,0.0,34221561,0.0,6011800.634966995,6320800.309666242,0.001289874367358709,0.0,53114002.716882035,0.0,339000000.0,0.0
27,0,0,0,1,0,0,8,5,8,8,0,0.0,76299088.11882158,0.0,0.0,59410102.93073928,0.0,0.0,37285037,0.0,0.0,16108916.742160894,0.0,80588066.02098697,0.0,0.028712230108158522,121200000.0,0.0
28,0,1,0,1,0,0,1,10,5,0,2,0.0,32694901.094161935,0.0,0.0,99525397.17141615,0.0,0.0,28798397,0.0,11016273.071513206,0.0,0.0022390504996640404,0.0,27578229.96765524,0.0,339000000.0,0.0
29,1,1,1,0,1,1,9,6,0,7,4,0.0,85264360.79025151,0.0,0.0,66045103.44010488,0.0,54743123.8768971,0,0.013816549313823579,0.0,14261651.781499248,0.0,0.0,33377116.55719709,0.0,589200000.0,461.4990984942874
30,1,0,0,0,1,1,5,2,6,4,4,0.0,53972506.18695759,0.0,21153512.502827715,42818415.6714978,0.0029126507911549173,0.0,31398797,0.0,0.0,9695195.36216505,0.0,0.0,33377116.55719709,0.0,340700000.0,215.8449308215291
31,0,0,0,1,1,0,5,8,1,8,9,0.0,53972506.18695759,0.0,0.0,81277411.11097889,0.0,39969029.65901186,20299287,0.028453430543029415,0.0,16108916.742160894,0.0,0.0,53114002.716882035,0.0,377300000.0,0.0
32,0,0,0,0,1,0,4,1,5,9,6,0.0,47847947.961454235,0.0,21153512.502827715,38245121.951764055,0.008090696642096995,0.0,28798397,0.0,0.0,18144080.211109996,0.0,0.0,40273672.383724004,0.0,256100000.00000003,0.0
33,0,0,1,0,1,0,0,6,8,10,10,228638934.73293695,0.0,0.06245600485685799,0.0,66045103.44010488,0.0,0.0,37285037,0.0,0.0,20384338.443195168,0.0,0.0,58176627.77592012,0.0,286800000.0,0.0
34,1,1,0,1,0,1,1,2,9,8,6,0.0,32694901.094161935,0.0,11310210.833422897,42818415.6714978,0.0015644579197192994,0.0,40609051,0.0,0.0,16108916.742160894,0.0,0.0,40273672.383724004,0.0,423600000.0,115.23865721418605
35,1,1,1,1,1,1,10,6,7,8,1,0.0,95107331.23784721,0.0,0.0,66045103.44010488,0.0,0.0,34221561,0.0,0.0,16108916.742160894,0.0,45885292.81331003,25037214.086173728,0.005940505989753562,710400000.0,546.0612927576818
36,0,1,0,0,1,0,9,9,10,3,0,0.0,85264360.79025151,0.0,0.0,89992006.20155807,0.0,0.0,44215020,0.0,199253.57529945485,8453407.696608048,4.6013842883916934e-05,152040963.37299672,0.0,0.054406521100552246,473900000.0,0.0
37,0,1,0,0,0,0,9,5,6,8,0,0.0,85264360.79025151,0.0,0.0,59410102.93073928,0.0,0.0,31398797,0.0,0.0,16108916.742160894,0.0,152040963.37299672,0.0,0.054406521100552246,217800000.0,0.0
38,1,0,1,1,1,0,5,0,6,3,5,0.0,53972506.18695759,0.0,40442957.782381915,0.0,0.014896265485756639,0.0,31398797,0.0,0.0,8453407.696608048,0.0,0.0,36676675.840294495,0.0,492600000.0,0.0
39,0,1,0,1,1,0,10,1,3,4,0,0.0,95107331.23784721,0.0,21046648.441665247,38245121.951764055,0.008012774930832696,0.0,24198032,0.0,0.0,9695195.36216505,0.0,48248378.36709532,0.0,0.017003401521826805,595100000.0,0.0
40,1,0,0,1,0,1,9,0,3,6,2,0.0,85264360.79025151,0.0,40974579.14714485,0.0,0.005502206183122662,0.0,24198032,0.0,0.0,12586457.998778107,0.0,0.0,27578229.96765524,0.0,205800000.0,421.37410141857424
41,0,1,1,1,0,0,10,10,10,9,1,0.0,95107331.23784721,0.0,0.0,99525397.17141615,0.0,0.0,44215020,0.0,0.0,18144080.211109996,0.0,45885292.81331003,25037214.086173728,0.016501405527093227,369700000.0,0.0
