,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,1,0,0,0,5,7,2,0,2,0.0,53972506.18695759,0.0,0.0,73315450.27094865,0.0,10527006.331223033,22167818.198803753,0.007480739488197774,15475783.620945418,0.0,0.00314806262701679,4804916.328224543,27578229.0,0.001736934294169307,30700000.0,0.0
1,0,0,0,1,0,0,1,4,5,4,1,20284101.620418157,32694901.094161935,0.005724424762255849,0.0,53358573.6002109,0.0,0.0,28798397.130608946,0.0,0.0,9695195.36216505,0.0,23487431.315708145,25037214.0,0.008412598469302396,121200000.0,0.0
2,0,1,1,1,0,0,0,8,0,1,1,0.0,0.0,0.0,0.0,81277411.11097889,0.0,38594606.64508614,0.0,0.027009178305948383,2641742.7176993852,6320800.309666242,0.0005527446708455065,4044091.2348357127,25037214.0,0.0014442242916315024,369700000.0,0.0
3,1,0,0,0,0,1,3,2,4,3,0,0.0,42291505.65437629,0.0,12451693.657364324,42818415.6714978,0.004771841105303533,0.0,26403379.542306438,0.0,0.0,8453407.696608048,0.0,118251547.47113651,0.0,0.04227830463160755,84600000.0,0.0
4,0,0,1,1,1,0,3,3,4,1,8,0.0,42291505.65437629,0.0,0.0,47842699.56310011,0.0,0.0,26403379.542306438,0.0,2663651.3780038613,6320800.309666242,0.0005603284378739787,0.0,48463701.69719181,0.0,408000000.0,0.0
5,0,0,0,0,0,1,1,2,2,1,0,20284101.620418157,32694901.094161935,0.005724424762255849,12451693.657364324,42818415.6714978,0.004771841105303533,28538885.679984458,22167818.198803753,0.02044057545191559,8622699.751627862,6320800.309666242,0.0018130340594034676,114709923.52696346,0.0,0.04091574605842832,0.0,0.0
6,0,0,1,1,0,1,1,1,1,1,7,20284101.620418157,32694901.094161935,0.005724424762255849,14708782.249985807,38245121.951764055,0.005529496265798203,18042564.375461243,20299287.62732069,0.012715267648037147,2641742.7176993852,6320800.309666242,0.0005527446708455065,0.0,44193513.54513965,0.0,151900000.0,0.0
7,0,0,0,0,0,1,1,3,2,2,3,20284101.620418157,32694901.094161935,0.005724424762255849,2096445.9949226007,47842699.56310011,0.0008178464672756857,28538885.679984458,22167818.198803753,0.02044057545191559,1668251.7415756988,7332080.219521779,0.0003686319452826731,0.0,30351526.042379983,0.0,0.0,0.0
8,0,0,0,1,1,1,5,4,2,0,5,0.0,53972506.18695759,0.0,0.0,53358573.6002109,0.0,18347580.75555764,22167818.198803753,0.013102590035461145,6440728.086605156,0.0,0.0012544542600453142,0.0,36676675.840294495,0.0,377300000.0,0.0
9,0,0,0,1,0,1,9,1,9,1,0,0.0,85264360.79025151,0.0,20601292.348427992,38245121.951764055,0.007787036590065158,0.0,40609051.370577164,0.0,2048229.6624021514,6320800.309666242,0.0004239773154729421,30973900.335913602,0.0,0.010931763198885756,121200000.0,0.0
