policy,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Gelderland_Deaths,Gelderland_Damages,Gelderland_Investment,Overijssel_Deaths,Overijssel_Damages,Overijssel_Investment,Total_Deaths,Total_Damages,Total_Investment
284,0.0,9596604.56021436,0.0,446500067.143285,16591687.259241484,0.2486250582120724,755125780.6441276,0.0,0.873754148097192,69804347.04093035,5254377.77925633,0.020765275385396298,136244740.83116528,12840330.333158046,0.0939070911343663,527800000.0,0.0,0.8737852347496893,743122325.0613523,17313998.469316527,0.09445808506347059,141497552.77127692,12840330.333158046,0.8583756380471078,743122325.0613523,16302718.559460998
426,1203736022.9681406,42291505.65437629,0.5364810663933556,446500067.143285,11567403.367639177,0.2486250582120724,512563244.3949597,2822764.0196109377,0.576263916343134,67333497.50450262,5254377.77925633,0.018137312411797,136244740.83116528,0.0,0.0939070911343663,310000000.0,0.0,0.5784354977192903,1200098213.3054788,47807379.69148709,0.09445808506347059,141497552.77127692,0.0,0.5784354977192903,1182424438.6038613,33955769.44847351
2551,1258907298.655958,5036302.417274214,0.5540191467808255,422414489.8206563,11567403.367639177,0.2400032075877331,755038887.0346303,0.0,0.8736339865128783,65477405.59841901,12586457.998778109,0.0178444593231144,136244740.83116528,12840330.333158046,0.087313957589126,527800000.0,0.0,0.8750041247995629,1257532059.1713789,7729412.434774056,0.08786495151823029,141497552.77127692,20172410.55267982,0.8635976683307977,1257532059.1713789,14050212.744440287
2939,1282881840.6182506,42291505.65437629,0.5696715568416227,407955302.6269775,11567403.367639177,0.2256960069400936,276514816.98539627,2822764.0196109377,0.318264785033062,74276553.61499783,0.0,0.0210691100506223,136244740.83116528,8920489.171742395,0.0922745027529877,473900000.0,0.0,0.5696715568416227,1269965092.9472153,47807379.69148709,0.09282549668209199,141497552.77127692,3666111.392486058,0.5696715568416227,1283481161.8034616,37621880.84095955
3032,0.0,9596604.56021436,0.0,446500067.143285,16591687.259241484,0.2486250582120724,649282033.7731744,2822764.0196109377,0.7279119557718331,69628406.37027676,6265657.689111866,0.0205289129341001,136244740.83116528,8920489.171742395,0.0939070911343663,271700000.0,0.0,0.6366147906400885,559167725.1792743,20136762.488927454,0.09445808506347059,141497552.77127692,9931769.081597932,0.6366147906400885,559167725.1792743,16216921.327511787
4958,1389420502.7523725,0.0,0.615581939815733,401220550.2949034,6051529.330528386,0.22259728538393087,191121273.6712159,2822764.0196109377,0.2101341883363188,49253499.699531,6265657.689111866,0.0138803180882167,64551062.240422025,12840330.333158046,0.0502555922856746,217800000.0,0.0,0.7541998111781548,1484108704.6211536,0.0,0.0502555922856746,55378440.98509691,13851610.243013583,0.7541998111781548,1484108704.6211536,0.0
5682,1282881840.6182506,42291505.65437629,0.5696715568416227,407955302.6269775,11567403.367639177,0.2256960069400936,484044175.6896686,0.0,0.5271017983770834,67169950.16476925,5254377.77925633,0.018077982935101697,136244740.83116528,12840330.333158046,0.0814305585848225,473900000.0,0.0,0.5696715568416227,1279164691.1487179,44984615.67187615,0.0823054717388662,141497552.77127692,12840330.333158046,0.5696715568416227,1269965092.9472153,43973335.76202062
5712,1381735300.5174656,42291505.65437629,0.6139289381346619,305677702.84306693,16591687.259241484,0.16753608554622898,755125780.6441276,0.0,0.873754148097192,38867514.73380119,6265657.689111866,0.0125429204616036,74308292.52839655,12840330.333158046,0.0488221816844297,225400000.0,0.0,0.8737852347496893,1401724642.1750858,50008899.563478455,0.0488221816844297,73136496.47239314,13851610.243013583,0.8623270415800144,1401724642.1750858,50008899.563478455
7116,1258907298.655958,5036302.417274214,0.5540191467808255,108052768.19342643,59410102.93073928,0.07701312976807062,515484636.7725419,2822764.0196109377,0.5815646616543204,65477405.59841901,12586457.998778109,0.0178444593231144,136244740.83116528,12840330.333158046,0.0896715965749188,527800000.0,0.0,0.5649436013649838,1253105648.6755128,58394876.01748511,0.09022259050402309,141497552.77127692,20172410.55267982,0.5649436013649838,1253105648.6755128,64715676.32715136
7332,1379952637.1580062,5036302.417274214,0.612903381659805,305677702.84306693,16591687.259241484,0.16753608554622898,571171180.7620496,2822764.0196109377,0.6406683547623666,45001357.96219036,6265657.689111866,0.0135211335508455,75690791.77933116,12840330.333158046,0.04922684976282589,53900000.0,0.0,0.6737052097637579,1398554439.1926334,15576460.345987305,0.04922684976282589,75690791.77933116,13851610.243013583,0.6737052097637579,1398554439.1926334,15576460.34598732
7401,1282881840.6182506,42291505.65437629,0.5696715568416227,330666465.38283867,16591687.259241484,0.21155023417590837,772141131.3669689,0.0,0.9006366569878945,67068740.22364681,6265657.689111866,0.0181304845416368,136244740.83116528,12840330.333158046,0.0814305585848225,187100000.0,0.0,0.9006677436403919,1282881840.6182506,50008899.563478455,0.0823054717388662,141497552.77127692,13851610.243013583,0.8845832823955253,1263556307.89472,50008899.563478455
7548,1385626564.2712417,9596604.56021436,0.615581939815733,431899274.8322707,0.0,0.2410473266221527,191060371.12403476,2822764.0196109377,0.2100008704683166,49253499.699531,6265657.689111866,0.0138803180882167,64551062.240422025,12840330.333158046,0.0502555922856746,0.0,0.0,0.7830361106216722,1590283611.0894856,3545075.229685977,0.0502555922856746,55378440.98509691,13851610.243013583,0.7830361106216722,1590283611.0894856,3545075.229685962
