,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,scenario,policy,model
5,125,154.93731949155165,1.5,0.0592486913097845,290.6560507862264,1.0,0.8684137631431365,217.1047945163737,1.0,0.358717490222708,228.0923206188741,1.5,0.930492912753671,219.4853783651377,1.0,0.312164407616815,2.5,6149,policy 1,dikesnet
13,11,303.5550216930421,10.0,0.0661810689574266,85.58987589031915,1.5,0.466409861533144,135.1640476396754,1.0,0.4956647779351678,142.46888358849566,1.0,0.1048613353058924,288.12707891145743,10.0,0.4127633834215465,1.5,6157,policy 1,dikesnet
22,52,301.2529314606416,1.0,0.2073549680862041,100.25009501206796,10.0,0.3105991840774169,183.0549291357589,10.0,0.2571086189898994,285.0170977802653,1.0,0.9318712526899812,83.1593356032374,1.0,0.8487426748909115,2.5,6166,policy 1,dikesnet
24,90,137.48759874554526,10.0,0.3208402282899538,32.69511710863585,1.0,0.5404035329806745,264.6370322981478,1.5,0.1625373349210925,76.10214443832902,1.5,0.7064700936035708,229.4189721052124,1.0,0.5718463305466662,1.5,6168,policy 1,dikesnet
36,97,135.07195636649016,1.0,0.2016840436680488,307.9333870066039,10.0,0.7095484452466779,318.5997428310892,1.5,0.7614794878853453,318.2065063183558,1.5,0.5004033462966291,285.62142537308523,1.0,0.4270331647252604,1.5,6180,policy 1,dikesnet
38,93,135.60801567165947,1.0,0.2717120036826997,94.84616384835152,1.5,0.0369099531358352,119.84194839820434,1.5,0.2745676555101378,100.68760832352024,1.0,0.4515295750499064,161.5551842714149,1.0,0.0906991243109732,1.5,6182,policy 1,dikesnet
49,50,218.4442134434887,1.5,0.0081276084122088,212.15985642750624,10.0,0.2792620139074434,59.29794666995935,1.0,0.1043869477978156,169.47073292753228,1.0,0.3973769584411664,168.9010233998482,1.5,0.0696231826579203,2.5,6193,policy 1,dikesnet
51,65,100.52642208575654,10.0,0.1621936603974184,153.88202013118277,1.0,0.0680196833749457,335.96710482307657,1.0,0.5943158604203033,160.0404677378689,1.5,0.4653328211910205,83.3330592694869,1.0,0.0647737120439027,2.5,6195,policy 1,dikesnet
52,70,287.87222996351744,1.5,0.2083548575490511,48.62400429634867,1.5,0.1596602705981679,265.4739694939448,1.5,0.9912598314162016,154.34383051943465,10.0,0.6350279559005347,303.0302085870325,1.5,0.7455453083174262,1.5,6196,policy 1,dikesnet
54,90,217.59487947249488,1.0,0.2749905668782168,189.2194055688244,10.0,0.6982161691410775,280.41144969303105,1.0,0.2309102948427918,342.2712764996569,1.0,0.261620393743278,292.6992094186748,1.0,0.7415906992786864,1.5,6198,policy 1,dikesnet
60,96,126.02024457480492,10.0,0.0918123406156105,79.49765573606983,1.0,0.2557947627154571,97.27519762567502,10.0,0.8893091626845528,292.76156924975953,10.0,0.0986608359404262,275.84047973882434,1.0,0.1781989508490182,1.5,6204,policy 1,dikesnet
61,132,66.13294360072936,1.5,0.045824499600183,66.38498190489821,1.0,0.9366837624213392,119.77239295476592,1.0,0.8113985556329181,221.4734525903805,1.5,0.7131464439999318,59.354517252219765,1.5,0.9806325361009832,1.5,6205,policy 1,dikesnet
89,27,245.87655480035636,1.0,0.2912169475523024,344.3540379616076,1.5,0.0299598767023269,287.77400179060743,10.0,0.5050614248169435,40.14990874027676,1.5,0.2703048967812411,159.37058870752625,10.0,0.7618394293297808,2.5,6233,policy 1,dikesnet
123,61,110.21366885435172,1.0,0.1966600191211649,270.35913631896847,1.0,0.4832750595224291,331.27057735884125,1.5,0.8687570353311258,194.42952690058544,1.0,0.9822273343829035,186.1553371918633,10.0,0.058425019142192,2.5,6267,policy 1,dikesnet
130,56,226.41006327626175,10.0,0.0433976219549135,36.40465608562697,10.0,0.0727370601592177,192.44498885632848,10.0,0.9223730745610624,273.46345849429554,1.0,0.9554084720604296,40.12791293173375,1.5,0.9297632933091076,2.5,6274,policy 1,dikesnet
138,82,316.64007266383913,1.0,0.0408524577769799,242.56237510503797,1.5,0.9503741390931534,200.99284423647563,10.0,0.8741943593941106,291.66754563480106,1.5,0.7544568448553818,247.039330664064,10.0,0.4036793809156422,2.5,6282,policy 1,dikesnet
145,61,299.60275344521546,10.0,0.1253698779157188,46.05300382710107,1.0,0.6106602960855388,85.71981744076155,1.5,0.0487781879034772,36.32575560846186,1.0,0.5792326135383833,130.26656237845182,10.0,0.8679301021541582,2.5,6289,policy 1,dikesnet
160,45,196.37180132208655,1.5,0.2661702597325356,276.2920754350222,1.0,0.1561286270201876,61.42884037416785,10.0,0.2022334552460074,255.00456101621936,10.0,0.54799124144842,148.71965922850785,10.0,0.885720782134937,1.5,6304,policy 1,dikesnet
164,57,148.49042457021056,10.0,0.2513312420665008,249.9253324105976,1.0,0.0088750834443275,124.60853029734568,1.5,0.8050162225020097,60.37109510415176,1.0,0.2090871586098194,229.3491331868668,1.5,0.5061004331100882,2.5,6308,policy 1,dikesnet
168,13,107.75998692532916,1.5,0.0064174936983529,106.83861836155052,1.0,0.4161235123836054,176.72318851569167,1.0,0.4338976237736688,148.334841086338,1.5,0.2795063682353248,101.5851915332309,1.5,0.1353451423121539,1.5,6312,policy 1,dikesnet
174,37,81.49288346203974,1.5,0.1373654988550011,108.96139624179102,10.0,0.3889331990162703,233.8669741621413,10.0,0.2644104915279572,270.449178483859,10.0,0.2220260239102451,33.66756523655084,1.0,0.4105894839851273,2.5,6318,policy 1,dikesnet
182,129,171.795447264834,1.0,0.1325892116113265,309.0518666927289,10.0,0.7161692910267875,212.26018488859768,10.0,0.4436968723043441,347.3123395772928,1.5,0.2935784320992728,255.6224170624161,1.5,0.8411307498830496,1.5,6326,policy 1,dikesnet
183,18,313.15143446752705,1.0,0.072032020952094,74.1119412147678,10.0,0.4758953202279247,162.1895728804424,1.0,0.1083691222696555,345.5815570096566,10.0,0.4671585974268898,44.742261073745965,10.0,0.6763937140637302,2.5,6327,policy 1,dikesnet
184,9,319.4996130818778,10.0,0.2127301454374226,148.19100355704472,10.0,0.7657237894842872,81.73302557408354,1.0,0.2882666154349716,159.4019650453159,1.5,0.1086509579878025,130.8835062370839,1.5,0.790116039500105,1.5,6328,policy 1,dikesnet
185,33,339.61661402171444,1.5,0.2758382434832229,102.04813020773734,1.0,0.1422692564116673,66.60968767023364,10.0,0.1577306440401755,128.3674867069568,1.5,0.3461119349931452,165.89743713166942,1.0,0.3112800008415245,2.5,6329,policy 1,dikesnet
186,58,146.9848327573775,1.0,0.0108919745283242,77.02277002425973,1.0,0.0864580495073342,256.9839714214253,1.5,0.3683581192255514,342.3316102060172,1.0,0.6087153749049565,64.0758243481651,1.0,0.6647041483597593,2.5,6330,policy 1,dikesnet
188,109,199.30956393487148,1.5,0.2245663395297584,230.2623192376023,10.0,0.6714788956333768,299.10560660262246,10.0,0.5037545296930693,71.92906779455438,10.0,0.2981049478786046,42.15306758740535,1.0,0.5925593374826161,1.5,6332,policy 1,dikesnet
207,52,75.0637726229294,1.0,0.0246011955777569,261.34067721645243,1.5,0.2469403416217294,305.44114453281014,10.0,0.9837216349938652,340.7061424490973,1.5,0.0322370866042732,89.4284746186941,1.5,0.6158828653492933,2.5,6351,policy 1,dikesnet
211,61,337.71749935894144,10.0,0.2700943710372639,171.96796491405885,10.0,0.1052769581818193,174.44767131999103,1.0,0.5415582617008724,106.1276076073978,1.0,0.3992119911932054,288.8071810566942,10.0,0.4145652576353256,2.5,6355,policy 1,dikesnet
